PricingDate,Product,Customer,Channel,Territory,ContractQuantity,InvoicePrice,InvoiceAmount,NetPrice,NetAmount,Discount,isDiscount,nContractQuantity,nInvoicePrice
05-SEP-12,Product_116,Customer_1778,Channel_7,Territory_32,135,6.5,877.5,6.5,877.5,0,FALSE,1.66054050803673,-1.86189938105056
03-AUG-12,Product_47,Customer_1842,Channel_7,Territory_97,1,114.8,114.8,114.8,114.8,0,FALSE,-1.65493504413209,0.71583926435917
12-OCT-12,Product_32,Customer_554,Channel_8,Territory_94,10,64.4,644,64.4,644,0,FALSE,-0.0986176251432948,0.196880162444923
27-DEC-12,Product_2,Customer_1726,Channel_8,Territory_107,10,27.1,271,27.1,271,0,FALSE,-0.0986176251432948,-0.580178791894984
11-DEC-12,Product_135,Customer_649,Channel_7,Territory_32,3,9.3,27.9,9.3,27.9,0,FALSE,-0.912382924442088,-1.54032073307571
07-SEP-12,Product_34,Customer_47,Channel_4,Territory_23,22,94.1,2070.2,85.55,1882.1,0.0908607863974495,TRUE,0.434300757677144,0.53734008486229
22-AUG-12,Product_42,Customer_409,Channel_7,Territory_92,6,82,492,82,492,0,FALSE,-0.443884698552114,0.413777302459269
17-OCT-12,Product_124,Customer_1566,Channel_7,Territory_2,2,18.13,36.26,18.13,36.26,0,FALSE,-1.18643681824211,-0.941036347691646
08-AUG-12,Product_135,Customer_1346,Channel_7,Territory_33,10,13,130,13,130,0,FALSE,-0.0986176251432948,-1.23963883632387
28-DEC-12,Product_130,Customer_1404,Channel_7,Territory_19,70,107,7490,76.43,5350.1,0.285700934579439,TRUE,1.21662317528418,0.652672448152333
03-JUL-12,Product_2,Customer_554,Channel_8,Territory_94,36,27.1,975.6,27.1,975.6,0,FALSE,0.76716564702786,-0.580178791894984
13-DEC-12,Product_26,Customer_642,Channel_7,Territory_15,100,16.55,1655,16.55,1655,0,FALSE,1.4576997938455,-1.02289329616012
29-AUG-12,Product_88,Customer_1823,Channel_8,Territory_18,10,21.7,217,21.7,217,0,FALSE,-0.0986176251432948,-0.779674159105124
04-DEC-12,Product_47,Customer_29,Channel_10,Territory_30,10,114.8,1148,114.8,1148,0,FALSE,-0.0986176251432948,0.71583926435917
28-NOV-12,Product_97,Customer_580,Channel_8,Territory_90,5,94.5,472.5,94.5,472.5,0,FALSE,-0.56711585103327,0.541148074461759
16-NOV-12,Product_100,Customer_915,Channel_4,Territory_82,51,64.5,3289.5,37.94,1934.94,0.411782945736434,TRUE,1.00258616507489,0.198273075372961
19-NOV-12,Product_70,Customer_14,Channel_7,Territory_29,1,92,92,92,92,0,FALSE,-1.65493504413209,0.517078745271708
03-JUL-12,Product_130,Customer_1571,Channel_7,Territory_29,12,107,1284,89.17,1070.04,0.166635514018692,TRUE,0.0246135273378611,0.652672448152333
02-AUG-12,Product_30,Customer_554,Channel_8,Territory_94,5,56,280,56,280,0,FALSE,-0.56711585103327,0.0714113661581517
21-NOV-12,Product_33,Customer_51,Channel_11,Territory_92,15,64,960,42.67,640.05,0.33328125,TRUE,0.17543626865673,0.191286797297501
28-AUG-12,Product_8,Customer_432,Channel_7,Territory_29,12,13.9,166.8,11.58,138.96,0.166906474820144,TRUE,0.0246135273378611,-1.17954510714
02-NOV-12,Product_126,Customer_1678,Channel_8,Territory_5,20,239,4780,239,4780,0,FALSE,0.36988060074668,1.37412121268448
28-NOV-12,Product_123,Customer_1,Channel_7,Territory_15,3,50,150,50,150,0,FALSE,-0.912382924442088,-0.0303274440543159
06-SEP-12,Product_59,Customer_661,Channel_7,Territory_15,6,8.62,51.72,8.62,51.72,0,FALSE,-0.443884698552114,-1.60848492466254
01-OCT-12,Product_50,Customer_1543,Channel_7,Territory_35,25,62.6,1565,62.6,1565,0,FALSE,0.520703342065548,0.171430931283363
23-OCT-12,Product_63,Customer_642,Channel_7,Territory_15,48,43.33,2079.84,43.33,2079.84,0,FALSE,0.961609979117811,-0.15886273850588
08-AUG-12,Product_71,Customer_731,Channel_4,Territory_17,6,119.5,717,99.58,597.48,0.166694560669456,TRUE,-0.443884698552114,0.751860667957793
18-DEC-12,Product_123,Customer_1553,Channel_7,Territory_15,1,50,50,50,50,0,FALSE,-1.65493504413209,-0.0303274440543159
10-SEP-12,Product_126,Customer_193,Channel_7,Territory_69,2,243.8,487.6,243.8,487.6,0,FALSE,-1.18643681824211,1.39197231688515
13-AUG-12,Product_42,Customer_583,Channel_8,Territory_50,20,82,1640,82,1640,0,FALSE,0.36988060074668,0.413777302459269
01-NOV-12,Product_123,Customer_302,Channel_7,Territory_32,1,35.29,35.29,35.29,35.29,0,FALSE,-1.65493504413209,-0.343118321210961
22-AUG-12,Product_84,Customer_1543,Channel_7,Territory_35,13,77,1001,59.23,769.99,0.230779220779221,TRUE,0.078714398829812,0.357297535436059
03-SEP-12,Product_45,Customer_1396,Channel_4,Territory_10,200,64,12800,32,6400,0.5,TRUE,1.92619801973547,0.191286797297501
20-JUL-12,Product_72,Customer_723,Channel_8,Territory_50,5,64.4,322,64.4,322,0,FALSE,-0.56711585103327,0.196880162444923
27-AUG-12,Product_33,Customer_494,Channel_10,Territory_57,3,40,120,40,120,0,FALSE,-0.912382924442088,-0.23065059574175
04-OCT-12,Product_23,Customer_1869,Channel_7,Territory_19,6,17.29,103.74,17.29,103.74,0,FALSE,-0.443884698552114,-0.983624516543269
19-OCT-12,Product_78,Customer_1582,Channel_4,Territory_52,23,7,161,3.04,69.92,0.565714285714286,TRUE,0.464345706984006,-1.79537026802191
14-NOV-12,Product_98,Customer_198,Channel_7,Territory_38,5,42.25,211.25,42.25,211.25,0,FALSE,-0.56711585103327,-0.181522291038506
07-DEC-12,Product_25,Customer_1726,Channel_8,Territory_107,120,14.2,1704,14.2,1704,0,FALSE,1.58093094632665,-1.16037571968907
05-SEP-12,Product_1,Customer_1766,Channel_7,Territory_19,70,14,980,10,700,0.285714285714286,TRUE,1.21662317528418,-1.17310972329522
05-SEP-12,Product_121,Customer_344,Channel_9,Territory_25,30,24,720,16,480,0.333333333333333,TRUE,0.643934494546704,-0.689235207812439
07-SEP-12,Product_94,Customer_1028,Channel_4,Territory_23,10,70,700,70,700,0,FALSE,-0.0986176251432948,0.271734517845586
18-OCT-12,Product_98,Customer_1439,Channel_7,Territory_28,2,42.25,84.5,42.25,84.5,0,FALSE,-1.18643681824211,-0.181522291038506
13-SEP-12,Product_71,Customer_357,Channel_4,Territory_54,27,119.5,3226.5,88.52,2390.04,0.259246861924686,TRUE,0.572721314937911,0.751860667957793
07-AUG-12,Product_98,Customer_442,Channel_7,Territory_33,10,42.25,422.5,42.25,422.5,0,FALSE,-0.0986176251432948,-0.181522291038506
29-AUG-12,Product_61,Customer_639,Channel_10,Territory_3,5,60,300,60,300,0,FALSE,-0.56711585103327,0.133348488601681
15-AUG-12,Product_126,Customer_425,Channel_7,Territory_85,1,243.8,243.8,243.8,243.8,0,FALSE,-1.65493504413209,1.39197231688515
23-NOV-12,Product_13,Customer_1591,Channel_4,Territory_79,48,97.4,4675.2,60.88,2922.24,0.374948665297741,TRUE,0.961609979117811,0.56828326568084
01-OCT-12,Product_30,Customer_885,Channel_4,Territory_97,15,86.8,1302,57.87,868.05,0.333294930875576,TRUE,0.17543626865673,0.464846930348248
24-JUL-12,Product_2,Customer_1346,Channel_7,Territory_33,30,35.2,1056,23.47,704.1,0.333238636363636,TRUE,0.643934494546704,-0.345410729838711
06-DEC-12,Product_136,Customer_61,Channel_7,Territory_1,3,6.51,19.53,6.51,19.53,0,FALSE,-0.912382924442088,-1.8605193159025
10-SEP-12,Product_106,Customer_567,Channel_11,Territory_92,16,50,800,31.25,500,0.375,TRUE,0.219057859427811,-0.0303274440543159
25-OCT-12,Product_58,Customer_1615,Channel_8,Territory_50,1,54.9,54.9,54.9,54.9,0,FALSE,-1.65493504413209,0.053601847512904
22-OCT-12,Product_42,Customer_1435,Channel_7,Territory_31,1,82,82,82,82,0,FALSE,-1.65493504413209,0.413777302459269
03-SEP-12,Product_8,Customer_266,Channel_10,Territory_75,39,13.9,542.1,10.69,416.91,0.230935251798561,TRUE,0.821266518519811,-1.17954510714
21-NOV-12,Product_102,Customer_844,Channel_4,Territory_16,39,10.3,401.7,7.92,308.88,0.231067961165049,TRUE,0.821266518519811,-1.4486357965698
06-NOV-12,Product_33,Customer_1541,Channel_7,Territory_35,34,64,2176,37.65,1280.1,0.41171875,TRUE,0.728532271274866,0.191286797297501
23-NOV-12,Product_58,Customer_1615,Channel_8,Territory_50,1,54.9,54.9,54.9,54.9,0,FALSE,-1.65493504413209,0.053601847512904
13-JUL-12,Product_71,Customer_503,Channel_7,Territory_31,25,119.5,2987.5,95.6,2390,0.2,TRUE,0.520703342065548,0.751860667957793
16-OCT-12,Product_23,Customer_1871,Channel_7,Territory_1,3,17.29,51.87,11.53,34.59,0.333140543666859,TRUE,-0.912382924442088,-0.983624516543269
20-JUL-12,Product_32,Customer_596,Channel_8,Territory_45,17,108.5,1844.5,63.82,1084.94,0.411797235023041,TRUE,0.260034045384892,0.665170082035682
22-DEC-12,Product_32,Customer_1139,Channel_4,Territory_16,17,108.5,1844.5,63.82,1084.94,0.411797235023041,TRUE,0.260034045384892,0.665170082035682
05-DEC-12,Product_31,Customer_1650,Channel_4,Territory_11,17,108.5,1844.5,63.82,1084.94,0.411797235023041,TRUE,0.260034045384892,0.665170082035682
14-AUG-12,Product_104,Customer_284,Channel_4,Territory_82,10,15,150,15,150,0,FALSE,-0.0986176251432948,-1.11117260085169
12-DEC-12,Product_126,Customer_486,Channel_7,Territory_69,1,243.8,243.8,243.8,243.8,0,FALSE,-1.65493504413209,1.39197231688515
07-DEC-12,Product_4,Customer_1778,Channel_7,Territory_32,144,6.93,997.92,6.93,997.92,0,FALSE,1.70416209880781,-1.80439277815869
03-SEP-12,Product_20,Customer_1535,Channel_11,Territory_52,75,75,5625,30,2250,0.6,TRUE,1.26325546175555,0.333671640289115
27-JUL-12,Product_47,Customer_1458,Channel_7,Territory_29,1,114.8,114.8,114.8,114.8,0,FALSE,-1.65493504413209,0.71583926435917
29-OCT-12,Product_98,Customer_1543,Channel_7,Territory_35,40,42.25,1690,42.25,1690,0,FALSE,0.838378826636654,-0.181522291038506
03-DEC-12,Product_58,Customer_1723,Channel_11,Territory_92,1,59.5,59.5,59.5,59.5,0,FALSE,-1.65493504413209,0.125836041397931
30-JUL-12,Product_29,Customer_596,Channel_8,Territory_45,23,16,368,13.91,319.93,0.130625,TRUE,0.464345706984006,-1.05323429215587
20-NOV-12,Product_130,Customer_1273,Channel_4,Territory_17,12,107,1284,89.17,1070.04,0.166635514018692,TRUE,0.0246135273378611,0.652672448152333
06-SEP-12,Product_102,Customer_751,Channel_7,Territory_28,31,10.3,319.3,6.65,206.15,0.354368932038835,TRUE,0.666097137994822,-1.4486357965698
29-OCT-12,Product_95,Customer_1565,Channel_8,Territory_94,30,30,900,30,900,0,FALSE,0.643934494546704,-0.488912056125005
18-SEP-12,Product_73,Customer_1543,Channel_7,Territory_35,30,16.67,500.1,16.67,500.1,0,FALSE,0.643934494546704,-1.01640754463628
13-DEC-12,Product_29,Customer_596,Channel_8,Territory_45,23,16,368,13.91,319.93,0.130625,TRUE,0.464345706984006,-1.05323429215587
21-DEC-12,Product_35,Customer_638,Channel_7,Territory_15,2,13.48,26.96,13.48,26.96,0,FALSE,-1.18643681824211,-1.20708908835131
14-AUG-12,Product_62,Customer_1541,Channel_7,Territory_35,80,14,1120,8.75,700,0.375,TRUE,1.30687705252663,-1.17310972329522
28-AUG-12,Product_8,Customer_1354,Channel_7,Territory_33,12,13.9,166.8,11.58,138.96,0.166906474820144,TRUE,0.0246135273378611,-1.17954510714
18-SEP-12,Product_73,Customer_1884,Channel_7,Territory_28,3,16.68,50.04,16.68,50.04,0,FALSE,-0.912382924442088,-1.015869174484
07-AUG-12,Product_72,Customer_961,Channel_4,Territory_78,17,108.5,1844.5,63.82,1084.94,0.411797235023041,TRUE,0.260034045384892,0.665170082035682
03-SEP-12,Product_98,Customer_1694,Channel_4,Territory_22,2,42.25,84.5,42.25,84.5,0,FALSE,-1.18643681824211,-0.181522291038506
13-JUL-12,Product_72,Customer_723,Channel_8,Territory_50,3,64.4,193.2,64.4,193.2,0,FALSE,-0.912382924442088,0.196880162444923
24-OCT-12,Product_44,Customer_1770,Channel_6,Territory_80,10,370,3700,370,3700,0,FALSE,-0.0986176251432948,1.76646560382942
28-DEC-12,Product_112,Customer_168,Channel_11,Territory_27,40,90,3600,45,1800,0.5,TRUE,0.838378826636654,0.497347572945112
01-OCT-12,Product_126,Customer_520,Channel_8,Territory_94,3,239,717,239,717,0,FALSE,-0.912382924442088,1.37412121268448
23-NOV-12,Product_101,Customer_639,Channel_10,Territory_3,5,55,275,55,275,0,FALSE,-0.56711585103327,0.0552355735361577
20-NOV-12,Product_52,Customer_457,Channel_7,Territory_35,50,40,2000,40,2000,0,FALSE,0.989201567955523,-0.23065059574175
26-JUL-12,Product_130,Customer_1556,Channel_7,Territory_38,65,107,6955,82.31,5350.15,0.230747663551402,TRUE,1.16653359192863,0.652672448152333
10-OCT-12,Product_115,Customer_520,Channel_8,Territory_94,20,15,300,15,300,0,FALSE,0.36988060074668,-1.11117260085169
11-JUL-12,Product_61,Customer_718,Channel_4,Territory_71,30,60,1800,60,1800,0,FALSE,0.643934494546704,0.133348488601681
14-DEC-12,Product_42,Customer_1011,Channel_4,Territory_21,5,82,410,82,410,0,FALSE,-0.56711585103327,0.413777302459269
13-AUG-12,Product_87,Customer_900,Channel_11,Territory_54,12,220,2640,183.33,2199.96,0.166681818181818,TRUE,0.0246135273378611,1.29975666298953
05-DEC-12,Product_130,Customer_554,Channel_8,Territory_94,126,82,10332,78.1,9840.6,0.0475609756097562,TRUE,1.61390822156536,0.413777302459269
24-OCT-12,Product_1,Customer_174,Channel_7,Territory_29,13,14,182,10.77,140.01,0.230714285714286,TRUE,0.078714398829812,-1.17310972329522
17-AUG-12,Product_26,Customer_311,Channel_7,Territory_15,12,17.29,207.48,17.29,207.48,0,FALSE,0.0246135273378611,-0.983624516543269
24-DEC-12,Product_41,Customer_580,Channel_8,Territory_90,1,986,986,986,986,0,FALSE,-1.65493504413209,2.64638082811057
11-DEC-12,Product_130,Customer_383,Channel_7,Territory_38,70,107,7490,76.43,5350.1,0.285700934579439,TRUE,1.21662317528418,0.652672448152333
17-AUG-12,Product_4,Customer_482,Channel_7,Territory_31,6,6.93,41.58,6.93,41.58,0,FALSE,-0.443884698552114,-1.80439277815869
26-DEC-12,Product_119,Customer_758,Channel_8,Territory_5,6,750,4500,375,2250,0.5,TRUE,-0.443884698552114,2.40077642615661
24-OCT-12,Product_123,Customer_1893,Channel_4,Territory_92,10,40,400,40,400,0,FALSE,-0.0986176251432948,-0.23065059574175
19-SEP-12,Product_59,Customer_373,Channel_7,Territory_19,310,12.5,3875,8.06,2498.6,0.3552,TRUE,2.22241455698361,-1.27484853350769
09-AUG-12,Product_107,Customer_865,Channel_4,Territory_108,44,340,14960,30.91,1360.04,0.909088235294118,TRUE,0.902798983567119,1.69055571367809
17-DEC-12,Product_126,Customer_383,Channel_7,Territory_42,2,243.8,487.6,243.8,487.6,0,FALSE,-1.18643681824211,1.39197231688515
17-AUG-12,Product_23,Customer_1863,Channel_7,Territory_15,12,17.29,207.48,17.29,207.48,0,FALSE,0.0246135273378611,-0.983624516543269
06-NOV-12,Product_52,Customer_1032,Channel_4,Territory_22,7,40,280,40,280,0,FALSE,-0.339694243704612,-0.23065059574175
10-DEC-12,Product_32,Customer_1544,Channel_11,Territory_92,40,108.5,4340,67.81,2712.4,0.375023041474654,TRUE,0.838378826636654,0.665170082035682
20-DEC-12,Product_52,Customer_215,Channel_7,Territory_32,1,40,40,40,40,0,FALSE,-1.65493504413209,-0.23065059574175
07-NOV-12,Product_100,Customer_1543,Channel_7,Territory_35,255,64.5,16447.5,37.94,9674.7,0.411782945736434,TRUE,2.09040535817371,0.198273075372961
26-DEC-12,Product_32,Customer_1543,Channel_7,Territory_35,370,108.5,40145,58.65,21700.5,0.459447004608295,TRUE,2.34200203451043,0.665170082035682
18-OCT-12,Product_130,Customer_494,Channel_10,Territory_57,15,82,1230,82,1230,0,FALSE,0.17543626865673,0.413777302459269
07-SEP-12,Product_42,Customer_557,Channel_7,Territory_31,1,82,82,82,82,0,FALSE,-1.65493504413209,0.413777302459269
03-OCT-12,Product_98,Customer_1859,Channel_7,Territory_19,50,42.25,2112.5,42.25,2112.5,0,FALSE,0.989201567955523,-0.181522291038506
20-SEP-12,Product_122,Customer_1286,Channel_4,Territory_72,24,90,2160,45,1080,0.5,TRUE,0.493111753227836,0.497347572945112
27-AUG-12,Product_36,Customer_661,Channel_7,Territory_15,2,46.5,93,46.5,93,0,FALSE,-1.18643681824211,-0.0954764919349087
29-AUG-12,Product_8,Customer_357,Channel_4,Territory_54,78,13.9,1084.2,10.69,833.82,0.230935251798561,TRUE,1.28976474440979,-1.17954510714
18-SEP-12,Product_34,Customer_935,Channel_4,Territory_49,2,94.1,188.2,94.1,188.2,0,FALSE,-1.18643681824211,0.53734008486229
16-NOV-12,Product_44,Customer_601,Channel_6,Territory_55,20,379.5,7590,379.5,7590,0,FALSE,0.36988060074668,1.78922454361973
30-JUL-12,Product_110,Customer_1853,Channel_7,Territory_105,4,1050,4200,1050,4200,0,FALSE,-0.717938592352138,2.70283838805651
20-DEC-12,Product_130,Customer_1411,Channel_7,Territory_33,70,107,7490,76.43,5350.1,0.285700934579439,TRUE,1.21662317528418,0.652672448152333
22-DEC-12,Product_52,Customer_298,Channel_7,Territory_15,3,40,120,40,120,0,FALSE,-0.912382924442088,-0.23065059574175
10-SEP-12,Product_73,Customer_1778,Channel_7,Territory_32,72,18.13,1305.36,18.13,1305.36,0,FALSE,1.23566387291784,-0.941036347691646
27-DEC-12,Product_90,Customer_1256,Channel_4,Territory_63,100,41,4100,41,4100,0,FALSE,1.4576997938455,-0.208483242267417
01-AUG-12,Product_91,Customer_1262,Channel_4,Territory_23,20,30,600,15,300,0.5,TRUE,0.36988060074668,-0.488912056125005
15-AUG-12,Product_76,Customer_919,Channel_11,Territory_97,36,64.5,2322,35.83,1289.88,0.444496124031008,TRUE,0.76716564702786,0.198273075372961
27-JUL-12,Product_102,Customer_1273,Channel_4,Territory_17,58,10.3,597.4,7.1,411.8,0.310679611650486,TRUE,1.08951865938237,-1.4486357965698
11-OCT-12,Product_7,Customer_1309,Channel_4,Territory_54,24,25,600,12.5,300,0.5,TRUE,0.493111753227836,-0.652587988781002
14-NOV-12,Product_42,Customer_524,Channel_7,Territory_38,1,82,82,82,82,0,FALSE,-1.65493504413209,0.413777302459269
18-SEP-12,Product_43,Customer_723,Channel_8,Territory_50,5,56,280,56,280,0,FALSE,-0.56711585103327,0.0714113661581517
03-JUL-12,Product_112,Customer_554,Channel_8,Territory_94,85,90,7650,52.94,4499.9,0.411777777777778,TRUE,1.34785323848371,0.497347572945112
03-JUL-12,Product_121,Customer_1296,Channel_4,Territory_34,50,24,1200,24,1200,0,FALSE,0.989201567955523,-0.689235207812439
27-AUG-12,Product_130,Customer_1346,Channel_7,Territory_33,6,107,642,89.17,535.02,0.166635514018692,TRUE,-0.443884698552114,0.652672448152333
15-AUG-12,Product_31,Customer_1517,Channel_4,Territory_54,51,108.5,5533.5,63.82,3254.82,0.411797235023041,TRUE,1.00258616507489,0.665170082035682
20-SEP-12,Product_115,Customer_1638,Channel_4,Territory_79,480,15,7200,7.5,3600,0.5,TRUE,2.5179273981066,-1.11117260085169
15-OCT-12,Product_123,Customer_417,Channel_7,Territory_29,3,40,120,40,120,0,FALSE,-0.912382924442088,-0.23065059574175
21-NOV-12,Product_43,Customer_1516,Channel_4,Territory_37,16,86.8,1388.8,54.25,868,0.375,TRUE,0.219057859427811,0.464846930348248
14-AUG-12,Product_100,Customer_1318,Channel_8,Territory_50,3,38,114,38,114,0,FALSE,-0.912382924442088,-0.276698237861046
24-SEP-12,Product_36,Customer_596,Channel_8,Territory_45,5,50,250,50,250,0,FALSE,-0.56711585103327,-0.0303274440543159
12-JUL-12,Product_60,Customer_1853,Channel_7,Territory_105,2,1200,2400,1200,2400,0,FALSE,-1.18643681824211,2.82271381919586
13-DEC-12,Product_44,Customer_1726,Channel_8,Territory_111,6,410,2460,410,2460,0,FALSE,-0.443884698552114,1.85862154360008
21-SEP-12,Product_130,Customer_1389,Channel_7,Territory_25,65,107,6955,82.31,5350.15,0.230747663551402,TRUE,1.16653359192863,0.652672448152333
02-AUG-12,Product_106,Customer_567,Channel_11,Territory_92,51,50,2550,29.41,1499.91,0.4118,TRUE,1.00258616507489,-0.0303274440543159
23-JUL-12,Product_35,Customer_1491,Channel_7,Territory_26,52,18.2,946.4,14,728,0.230769230769231,TRUE,1.01571085060976,-0.937576874423973
17-OCT-12,Product_98,Customer_491,Channel_7,Territory_35,2,42.25,84.5,42.25,84.5,0,FALSE,-1.18643681824211,-0.181522291038506
03-JUL-12,Product_130,Customer_1751,Channel_7,Territory_38,65,107,6955,82.31,5350.15,0.230747663551402,TRUE,1.16653359192863,0.652672448152333
27-SEP-12,Product_92,Customer_1679,Channel_11,Territory_49,26,24.5,637,18.85,490.1,0.230612244897959,TRUE,0.547212624719787,-0.670724609707885
19-OCT-12,Product_43,Customer_1245,Channel_4,Territory_97,40,86.8,3472,86.8,3472,0,FALSE,0.838378826636654,0.464846930348248
18-DEC-12,Product_18,Customer_1726,Channel_8,Territory_111,2,275.8,551.6,275.8,551.6,0,FALSE,-1.18643681824211,1.50268760794724
09-OCT-12,Product_123,Customer_1661,Channel_7,Territory_28,5,40,200,40,200,0,FALSE,-0.56711585103327,-0.23065059574175
05-DEC-12,Product_25,Customer_853,Channel_11,Territory_54,35,18.5,647.5,13.21,462.35,0.285945945945946,TRUE,0.748124949394206,-0.922899726764763
19-JUL-12,Product_126,Customer_75,Channel_7,Territory_98,1,243.8,243.8,243.8,243.8,0,FALSE,-1.65493504413209,1.39197231688515
11-OCT-12,Product_13,Customer_389,Channel_7,Territory_38,70,64.7,4529,55.46,3882.2,0.142812982998454,TRUE,1.21662317528418,0.201052434255585
01-AUG-12,Product_126,Customer_1623,Channel_8,Territory_111,10,239,2390,239,2390,0,FALSE,-0.0986176251432948,1.37412121268448
05-SEP-12,Product_126,Customer_709,Channel_8,Territory_5,1,239,239,239,239,0,FALSE,-1.65493504413209,1.37412121268448
26-JUL-12,Product_130,Customer_1442,Channel_8,Territory_50,20,82,1640,82,1640,0,FALSE,0.36988060074668,0.413777302459269
11-SEP-12,Product_74,Customer_1778,Channel_7,Territory_32,6,17.05,102.3,17.05,102.3,0,FALSE,-0.443884698552114,-0.996173103414552
02-AUG-12,Product_130,Customer_117,Channel_4,Territory_67,6,82,492,68.33,409.98,0.166707317073171,TRUE,-0.443884698552114,0.413777302459269
19-DEC-12,Product_72,Customer_1029,Channel_11,Territory_27,85,108.5,9222.5,63.82,5424.7,0.411797235023041,TRUE,1.34785323848371,0.665170082035682
19-SEP-12,Product_124,Customer_166,Channel_7,Territory_15,6,18.13,108.78,18.13,108.78,0,FALSE,-0.443884698552114,-0.941036347691646
20-DEC-12,Product_47,Customer_88,Channel_7,Territory_38,6,114.8,688.8,114.8,688.8,0,FALSE,-0.443884698552114,0.71583926435917
04-DEC-12,Product_76,Customer_1438,Channel_7,Territory_31,17,64.5,1096.5,37.94,644.98,0.411782945736434,TRUE,0.260034045384892,0.198273075372961
17-DEC-12,Product_25,Customer_1623,Channel_8,Territory_107,3,14.2,42.6,14.2,42.6,0,FALSE,-0.912382924442088,-1.16037571968907
19-NOV-12,Product_32,Customer_940,Channel_4,Territory_27,34,108.5,3689,41.49,1410.66,0.617603686635945,TRUE,0.728532271274866,0.665170082035682
23-AUG-12,Product_114,Customer_1607,Channel_7,Territory_32,11,30,330,30,330,0,FALSE,-0.0341974682128303,-0.488912056125005
04-OCT-12,Product_47,Customer_1476,Channel_7,Territory_32,1,114.8,114.8,114.8,114.8,0,FALSE,-1.65493504413209,0.71583926435917
10-AUG-12,Product_43,Customer_1347,Channel_8,Territory_45,20,56,1120,56,1120,0,FALSE,0.36988060074668,0.0714113661581517
03-SEP-12,Product_52,Customer_1687,Channel_7,Territory_29,10,40,400,40,400,0,FALSE,-0.0986176251432948,-0.23065059574175
13-AUG-12,Product_135,Customer_549,Channel_7,Territory_32,16,9.3,148.8,9.3,148.8,0,FALSE,0.219057859427811,-1.54032073307571
08-OCT-12,Product_61,Customer_1347,Channel_8,Territory_45,15,60,900,60,900,0,FALSE,0.17543626865673,0.133348488601681
26-DEC-12,Product_32,Customer_787,Channel_4,Territory_27,40,108.5,4340,108.5,4340,0,FALSE,0.838378826636654,0.665170082035682
05-DEC-12,Product_102,Customer_369,Channel_7,Territory_38,29,10.3,298.7,7.1,205.9,0.310679611650486,TRUE,0.621020433492394,-1.4486357965698
10-OCT-12,Product_126,Customer_377,Channel_7,Territory_93,2,243.8,487.6,243.8,487.6,0,FALSE,-1.18643681824211,1.39197231688515
18-SEP-12,Product_98,Customer_333,Channel_7,Territory_38,6,42.25,253.5,42.25,253.5,0,FALSE,-0.443884698552114,-0.181522291038506
21-NOV-12,Product_21,Customer_284,Channel_4,Territory_82,10,48,480,48,480,0,FALSE,-0.0986176251432948,-0.0669746630857533
19-NOV-12,Product_98,Customer_1751,Channel_7,Territory_38,3,42.25,126.75,42.25,126.75,0,FALSE,-0.912382924442088,-0.181522291038506
13-DEC-12,Product_130,Customer_1435,Channel_7,Territory_31,70,107,7490,76.43,5350.1,0.285700934579439,TRUE,1.21662317528418,0.652672448152333
