PricingDate,Product,Customer,Channel,Territory,ContractQuantity,InvoicePrice,InvoiceAmount,NetPrice,NetAmount
26-DEC-12,Product_90,Customer_1623,Channel_8,Territory_111,7,41,287,41,287
03-OCT-12,Product_34,Customer_1726,Channel_8,Territory_111,50,73.5,3675,73.5,3675
16-AUG-12,Product_90,Customer_709,Channel_8,Territory_5,3,41,123,41,123
12-OCT-12,Product_51,Customer_1468,Channel_8,Territory_12,5,36.4,182,36.4,182
28-AUG-12,Product_107,Customer_803,Channel_11,Territory_108,15,340,5100,340,5100
03-AUG-12,Product_94,Customer_1726,Channel_8,Territory_111,50,70,3500,70,3500
06-SEP-12,Product_43,Customer_494,Channel_10,Territory_57,12,56,672,46.67,560.04
05-JUL-12,Product_63,Customer_1347,Channel_8,Territory_45,6,46.43,278.58,46.43,278.58
12-NOV-12,Product_126,Customer_1243,Channel_4,Territory_65,2,239,478,239,478
12-DEC-12,Product_27,Customer_1347,Channel_8,Territory_45,50,51.7,2585,51.7,2585
18-SEP-12,Product_101,Customer_1678,Channel_8,Territory_5,60,55,3300,55,3300
15-OCT-12,Product_123,Customer_1605,Channel_8,Territory_12,20,50,1000,50,1000
24-SEP-12,Product_130,Customer_1678,Channel_8,Territory_5,80,82,6560,82,6560
13-JUL-12,Product_123,Customer_1067,Channel_4,Territory_23,15,40,600,40,600
19-SEP-12,Product_33,Customer_1605,Channel_8,Territory_12,3,40,120,40,120
06-DEC-12,Product_103,Customer_1818,Channel_8,Territory_101,1,750,750,750,750
14-AUG-12,Product_123,Customer_656,Channel_11,Territory_16,80,37.5,3000,37.5,3000
12-JUL-12,Product_94,Customer_1347,Channel_8,Territory_45,30,70,2100,70,2100
16-JUL-12,Product_41,Customer_1347,Channel_8,Territory_45,1,986,986,986,986
02-NOV-12,Product_108,Customer_1343,Channel_4,Territory_91,1,66.3,66.3,66.3,66.3
12-DEC-12,Product_108,Customer_26,Channel_4,Territory_21,4,66.3,265.2,66.3,265.2
30-OCT-12,Product_53,Customer_1678,Channel_8,Territory_5,20,67,1340,67,1340
07-NOV-12,Product_94,Customer_782,Channel_4,Territory_21,20,70,1400,70,1400
17-OCT-12,Product_97,Customer_1347,Channel_8,Territory_45,20,94.5,1890,94.5,1890
02-NOV-12,Product_94,Customer_1343,Channel_4,Territory_91,10,70,700,70,700
22-OCT-12,Product_13,Customer_736,Channel_8,Territory_45,10,74.9,749,74.9,749
23-NOV-12,Product_47,Customer_1318,Channel_8,Territory_50,20,114.8,2296,114.8,2296
06-SEP-12,Product_79,Customer_1347,Channel_8,Territory_45,10,91,910,91,910
25-SEP-12,Product_42,Customer_1337,Channel_4,Territory_22,3,82,246,82,246
07-AUG-12,Product_100,Customer_1678,Channel_8,Territory_5,60,38,2280,38,2280
02-AUG-12,Product_102,Customer_1347,Channel_8,Territory_45,100,7.1,710,7.1,710
27-AUG-12,Product_70,Customer_736,Channel_8,Territory_45,3,92,276,92,276
07-NOV-12,Product_92,Customer_1531,Channel_8,Territory_50,17,19.6,333.2,19.6,333.2
24-SEP-12,Product_34,Customer_1678,Channel_8,Territory_5,30,73.5,2205,73.5,2205
27-NOV-12,Product_84,Customer_736,Channel_8,Territory_45,5,60,300,60,300
19-DEC-12,Product_135,Customer_1347,Channel_8,Territory_45,50,13,650,13,650
21-SEP-12,Product_110,Customer_526,Channel_10,Territory_100,6,1125,6750,1125,6750
21-SEP-12,Product_70,Customer_552,Channel_7,Territory_35,11,92,1012,83.64,920.04
15-OCT-12,Product_73,Customer_552,Channel_7,Territory_35,12,18.13,217.56,18.13,217.56
06-SEP-12,Product_58,Customer_1470,Channel_7,Territory_32,2,59.5,119,59.5,119
12-DEC-12,Product_47,Customer_454,Channel_7,Territory_31,2,114.8,229.6,114.8,229.6
22-AUG-12,Product_58,Customer_1485,Channel_7,Territory_29,1,59.5,59.5,59.5,59.5
15-AUG-12,Product_60,Customer_1565,Channel_8,Territory_94,2,1250,2500,1250,2500
07-AUG-12,Product_58,Customer_1485,Channel_7,Territory_29,1,59.5,59.5,59.5,59.5
26-SEP-12,Product_41,Customer_1519,Channel_4,Territory_9,3,985,2955,985,2955
18-SEP-12,Product_123,Customer_649,Channel_7,Territory_32,3,35.29,105.87,35.29,105.87
17-DEC-12,Product_126,Customer_416,Channel_7,Territory_69,2,243.8,487.6,243.8,487.6
14-SEP-12,Product_135,Customer_503,Channel_7,Territory_31,50,13,650,13,650
24-AUG-12,Product_28,Customer_1410,Channel_7,Territory_2,3,6.93,20.79,6.93,20.79
16-AUG-12,Product_124,Customer_503,Channel_7,Territory_31,6,16.68,100.08,16.68,100.08
29-NOV-12,Product_73,Customer_1741,Channel_7,Territory_33,3,18.13,54.39,18.13,54.39
11-OCT-12,Product_123,Customer_1712,Channel_7,Territory_32,1,35.29,35.29,35.29,35.29
03-JUL-12,Product_70,Customer_121,Channel_7,Territory_29,1,92,92,92,92
11-OCT-12,Product_30,Customer_547,Channel_7,Territory_19,36,86.8,3124.8,48.22,1735.92
26-DEC-12,Product_130,Customer_556,Channel_7,Territory_97,70,107,7490,76.43,5350.1
05-OCT-12,Product_115,Customer_291,Channel_4,Territory_25,30,16.5,495,11,330
11-DEC-12,Product_54,Customer_1036,Channel_4,Territory_103,28,13,364,9.29,260.12
10-OCT-12,Product_104,Customer_1036,Channel_4,Territory_103,20,15,300,15,300
23-JUL-12,Product_91,Customer_704,Channel_8,Territory_94,5,20,100,20,100
20-SEP-12,Product_49,Customer_523,Channel_7,Territory_33,1,62.5,62.5,62.5,62.5
28-NOV-12,Product_3,Customer_523,Channel_7,Territory_33,1,404.2,404.2,404.2,404.2
01-AUG-12,Product_42,Customer_570,Channel_7,Territory_112,50,69.65,3482.5,69.65,3482.5
14-SEP-12,Product_8,Customer_737,Channel_7,Territory_33,13,13.9,180.7,10.69,138.97
22-DEC-12,Product_59,Customer_1712,Channel_7,Territory_32,15,12.5,187.5,8.33,124.95
11-OCT-12,Product_82,Customer_547,Channel_7,Territory_19,33,147,4851,89.09,2939.97
26-SEP-12,Product_104,Customer_1036,Channel_4,Territory_103,20,15,300,15,300
06-NOV-12,Product_37,Customer_1728,Channel_8,Territory_108,10,87,870,87,870
01-NOV-12,Product_98,Customer_1140,Channel_4,Territory_40,6,42.25,253.5,42.25,253.5
01-NOV-12,Product_130,Customer_366,Channel_7,Territory_28,65,107,6955,82.31,5350.15
26-SEP-12,Product_10,Customer_704,Channel_8,Territory_94,30,51,1530,51,1530
03-SEP-12,Product_72,Customer_556,Channel_7,Territory_97,20,108.5,2170,108.5,2170
15-AUG-12,Product_106,Customer_1036,Channel_4,Territory_103,60,50,3000,25,1500
29-AUG-12,Product_49,Customer_523,Channel_7,Territory_33,1,62.5,62.5,62.5,62.5
24-AUG-12,Product_4,Customer_183,Channel_7,Territory_2,6,6.93,41.58,6.93,41.58
21-SEP-12,Product_8,Customer_1230,Channel_4,Territory_14,24,13.9,333.6,11.58,277.92
10-JUL-12,Product_41,Customer_1328,Channel_7,Territory_9,1,986,986,986,986
08-OCT-12,Product_106,Customer_256,Channel_4,Territory_8,100,50,5000,25,2500
14-DEC-12,Product_98,Customer_273,Channel_4,Territory_37,6,42.25,253.5,42.25,253.5
26-JUL-12,Product_70,Customer_1895,Channel_7,Territory_29,1,92,92,92,92
01-AUG-12,Product_94,Customer_249,Channel_4,Territory_40,6,70,420,70,420
11-SEP-12,Product_17,Customer_547,Channel_7,Territory_19,1,323.4,323.4,323.4,323.4
07-AUG-12,Product_98,Customer_523,Channel_7,Territory_33,1,42.25,42.25,42.25,42.25
25-JUL-12,Product_52,Customer_1583,Channel_4,Territory_79,2,40,80,40,80
03-OCT-12,Product_126,Customer_121,Channel_7,Territory_69,2,243.8,487.6,243.8,487.6
26-NOV-12,Product_98,Customer_88,Channel_7,Territory_38,6,42.25,253.5,42.25,253.5
14-NOV-12,Product_135,Customer_193,Channel_7,Territory_29,3,13,39,13,39
01-NOV-12,Product_130,Customer_392,Channel_7,Territory_29,65,107,6955,82.31,5350.15
30-JUL-12,Product_133,Customer_1778,Channel_7,Territory_32,80,17.05,1364,17.05,1364
19-NOV-12,Product_126,Customer_1289,Channel_4,Territory_93,1,239,239,239,239
27-JUL-12,Product_20,Customer_1723,Channel_11,Territory_92,15,75,1125,50,750
25-OCT-12,Product_100,Customer_522,Channel_7,Territory_25,45,64.5,2902.5,35.83,1612.35
14-DEC-12,Product_22,Customer_1723,Channel_11,Territory_92,2,1050,2100,1050,2100
05-SEP-12,Product_74,Customer_1778,Channel_7,Territory_32,12,17.05,204.6,17.05,204.6
06-NOV-12,Product_123,Customer_1775,Channel_7,Territory_32,2,50,100,50,100
17-OCT-12,Product_36,Customer_1894,Channel_7,Territory_29,85,80,6800,47.06,4000.1
29-NOV-12,Product_126,Customer_293,Channel_4,Territory_98,1,239,239,239,239
26-DEC-12,Product_59,Customer_1894,Channel_7,Territory_29,330,12.5,4125,7.58,2501.4
01-NOV-12,Product_130,Customer_377,Channel_7,Territory_92,130,107,13910,82.31,10700.3
01-NOV-12,Product_18,Customer_1743,Channel_7,Territory_29,1,275.8,275.8,275.8,275.8
19-SEP-12,Product_49,Customer_1196,Channel_4,Territory_97,5,62.5,312.5,62.5,312.5
09-JUL-12,Product_20,Customer_1171,Channel_4,Territory_27,17,75,1275,44.12,750.04
04-OCT-12,Product_8,Customer_303,Channel_7,Territory_27,12,13.9,166.8,11.58,138.96
15-AUG-12,Product_130,Customer_1718,Channel_7,Territory_25,5,107,535,107,535
11-OCT-12,Product_35,Customer_422,Channel_7,Territory_19,39,18.2,709.8,14,546
16-NOV-12,Product_135,Customer_377,Channel_7,Territory_92,6,13,78,13,78
26-JUL-12,Product_42,Customer_631,Channel_7,Territory_25,1,82,82,82,82
22-OCT-12,Product_49,Customer_193,Channel_7,Territory_29,1,62.5,62.5,62.5,62.5
14-NOV-12,Product_98,Customer_193,Channel_7,Territory_29,4,42.25,169,42.25,169
03-DEC-12,Product_126,Customer_193,Channel_7,Territory_69,2,243.8,487.6,243.8,487.6
26-NOV-12,Product_73,Customer_1707,Channel_7,Territory_2,4,25.9,103.6,25.9,103.6
11-OCT-12,Product_18,Customer_1743,Channel_7,Territory_29,1,275.8,275.8,275.8,275.8
06-AUG-12,Product_42,Customer_631,Channel_7,Territory_25,1,82,82,82,82
16-JUL-12,Product_132,Customer_429,Channel_7,Territory_19,3,17.29,51.87,17.29,51.87
24-JUL-12,Product_124,Customer_510,Channel_7,Territory_19,6,18.13,108.78,18.13,108.78
24-DEC-12,Product_47,Customer_193,Channel_7,Territory_29,1,114.8,114.8,114.8,114.8
19-NOV-12,Product_8,Customer_193,Channel_7,Territory_29,60,13.9,834,11.58,694.8
27-AUG-12,Product_42,Customer_484,Channel_7,Territory_19,2,82,164,82,164
24-SEP-12,Product_42,Customer_193,Channel_7,Territory_29,1,82,82,82,82
03-DEC-12,Product_58,Customer_88,Channel_7,Territory_38,3,59.5,178.5,59.5,178.5
11-SEP-12,Product_106,Customer_728,Channel_4,Territory_53,24,50,1200,25,600
23-JUL-12,Product_98,Customer_193,Channel_7,Territory_29,6,42.25,253.5,42.25,253.5
23-JUL-12,Product_42,Customer_193,Channel_7,Territory_29,1,82,82,82,82
05-DEC-12,Product_98,Customer_429,Channel_7,Territory_19,6,42.25,253.5,42.25,253.5
15-AUG-12,Product_66,Customer_485,Channel_7,Territory_19,6,6.51,39.06,6.51,39.06
18-OCT-12,Product_32,Customer_832,Channel_4,Territory_53,17,108.5,1844.5,63.82,1084.94
10-JUL-12,Product_9,Customer_1778,Channel_7,Territory_32,150,6.5,975,6.5,975
06-DEC-12,Product_47,Customer_1723,Channel_11,Territory_92,10,114.8,1148,114.8,1148
26-SEP-12,Product_125,Customer_17,Channel_11,Territory_25,15,335,5025,223.33,3349.95
13-DEC-12,Product_130,Customer_751,Channel_7,Territory_28,560,107,59920,76.43,42800.8
05-OCT-12,Product_114,Customer_1778,Channel_7,Territory_32,9,39.12,352.08,39.12,352.08
22-NOV-12,Product_59,Customer_214,Channel_7,Territory_32,15,12.5,187.5,8.33,124.95
11-DEC-12,Product_130,Customer_629,Channel_7,Territory_31,70,107,7490,76.43,5350.1
06-SEP-12,Product_126,Customer_185,Channel_7,Territory_66,1,243.8,243.8,243.8,243.8
08-AUG-12,Product_11,Customer_477,Channel_7,Territory_28,42,25,1050,17.86,750.12
20-SEP-12,Product_59,Customer_1476,Channel_7,Territory_32,60,12.5,750,8.33,499.8
17-AUG-12,Product_59,Customer_1476,Channel_7,Territory_32,30,12.5,375,8.33,249.9
02-AUG-12,Product_32,Customer_1394,Channel_4,Territory_10,13,108.5,1410.5,83.46,1084.98
19-OCT-12,Product_70,Customer_159,Channel_7,Territory_33,11,92,1012,83.64,920.04
14-DEC-12,Product_126,Customer_211,Channel_7,Territory_58,1,243.8,243.8,243.8,243.8
12-JUL-12,Product_32,Customer_1139,Channel_4,Territory_16,17,108.5,1844.5,63.82,1084.94
13-SEP-12,Product_73,Customer_391,Channel_7,Territory_33,6,16.68,100.08,16.68,100.08
23-AUG-12,Product_122,Customer_1066,Channel_4,Territory_11,24,90,2160,45,1080
25-SEP-12,Product_135,Customer_553,Channel_7,Territory_31,50,13,650,13,650
12-DEC-12,Product_52,Customer_465,Channel_7,Territory_19,20,40,800,40,800
12-DEC-12,Product_59,Customer_1747,Channel_7,Territory_28,73,12.5,912.5,8.56,624.88
23-AUG-12,Product_130,Customer_185,Channel_7,Territory_28,24,107,2568,89.17,2140.08
02-OCT-12,Product_59,Customer_1747,Channel_7,Territory_28,72,12.5,900,8.68,624.96
18-SEP-12,Product_135,Customer_1709,Channel_7,Territory_32,18,9.3,167.4,9.3,167.4
26-DEC-12,Product_130,Customer_391,Channel_7,Territory_33,70,107,7490,76.43,5350.1
27-NOV-12,Product_32,Customer_1633,Channel_4,Territory_67,9,108.5,976.5,60.28,542.52
21-SEP-12,Product_123,Customer_217,Channel_7,Territory_32,2,35.29,70.58,35.29,70.58
22-AUG-12,Product_135,Customer_477,Channel_7,Territory_28,16,13,208,13,208
01-OCT-12,Product_59,Customer_1205,Channel_4,Territory_17,290,12.5,3625,8.62,2499.8
27-AUG-12,Product_98,Customer_508,Channel_7,Territory_31,10,42.25,422.5,42.25,422.5
29-OCT-12,Product_114,Customer_1607,Channel_7,Territory_32,11,30,330,30,330
09-NOV-12,Product_37,Customer_159,Channel_7,Territory_33,1,110,110,110,110
09-NOV-12,Product_94,Customer_1525,Channel_11,Territory_23,12,70,840,70,840
17-AUG-12,Product_124,Customer_332,Channel_7,Territory_31,6,18.13,108.78,18.13,108.78
16-AUG-12,Product_98,Customer_252,Channel_10,Territory_75,6,39,234,39,234
22-NOV-12,Product_8,Customer_758,Channel_8,Territory_5,4,12.1,48.4,12.1,48.4
02-OCT-12,Product_135,Customer_1747,Channel_7,Territory_28,6,13,78,13,78
23-NOV-12,Product_106,Customer_845,Channel_4,Territory_10,15,50,750,33.33,499.95
11-DEC-12,Product_135,Customer_217,Channel_7,Territory_32,4,9.3,37.2,9.3,37.2
03-DEC-12,Product_107,Customer_508,Channel_7,Territory_31,4,340,1360,340,1360
04-OCT-12,Product_42,Customer_1672,Channel_11,Territory_14,5,82,410,82,410
18-OCT-12,Product_28,Customer_504,Channel_7,Territory_19,10,6.93,69.3,6.93,69.3
09-OCT-12,Product_135,Customer_1747,Channel_7,Territory_28,16,13,208,13,208
13-DEC-12,Product_90,Customer_559,Channel_8,Territory_112,70,41,2870,41,2870
14-NOV-12,Product_123,Customer_1205,Channel_4,Territory_17,10,40,400,40,400
21-SEP-12,Product_123,Customer_652,Channel_7,Territory_32,3,35.29,105.87,35.29,105.87
02-OCT-12,Product_124,Customer_708,Channel_7,Territory_19,20,16.68,333.6,16.68,333.6
02-JUL-12,Product_126,Customer_1498,Channel_7,Territory_41,1,243.8,243.8,243.8,243.8
26-DEC-12,Product_42,Customer_833,Channel_4,Territory_27,1,82,82,82,82
09-OCT-12,Product_94,Customer_915,Channel_4,Territory_82,20,70,1400,70,1400
27-SEP-12,Product_92,Customer_180,Channel_7,Territory_28,14,24.5,343,17.5,245
20-SEP-12,Product_32,Customer_367,Channel_7,Territory_92,185,108.5,20072.5,58.65,10850.25
05-DEC-12,Product_35,Customer_1796,Channel_7,Territory_28,13,18.2,236.6,14,182
02-NOV-12,Product_123,Customer_1481,Channel_4,Territory_25,30,40,1200,40,1200
02-AUG-12,Product_72,Customer_367,Channel_7,Territory_92,185,108.5,20072.5,58.65,10850.25
13-DEC-12,Product_100,Customer_915,Channel_4,Territory_82,17,64.5,1096.5,37.94,644.98
30-JUL-12,Product_104,Customer_367,Channel_7,Territory_92,2,16,32,16,32
22-NOV-12,Product_47,Customer_1641,Channel_10,Territory_57,10,114.8,1148,114.8,1148
10-OCT-12,Product_43,Customer_84,Channel_4,Territory_22,10,56,560,56,560
05-NOV-12,Product_135,Customer_1534,Channel_7,Territory_35,20,13,260,13,260
17-AUG-12,Product_74,Customer_358,Channel_7,Territory_15,12,17.29,207.48,17.29,207.48
25-JUL-12,Product_122,Customer_1535,Channel_11,Territory_52,20,90,1800,45,900
18-OCT-12,Product_35,Customer_1817,Channel_7,Territory_28,26,18.2,473.2,14,364
16-OCT-12,Product_17,Customer_441,Channel_7,Territory_31,1,323.4,323.4,323.4,323.4
02-OCT-12,Product_71,Customer_51,Channel_11,Territory_92,5,75,375,75,375
03-JUL-12,Product_106,Customer_580,Channel_8,Territory_90,92,24,2208,20.87,1920.04
07-AUG-12,Product_42,Customer_554,Channel_8,Territory_94,20,82,1640,82,1640
19-NOV-12,Product_42,Customer_1897,Channel_7,Territory_29,1,82,82,82,82
07-AUG-12,Product_106,Customer_1535,Channel_11,Territory_52,15,50,750,33.33,499.95
20-DEC-12,Product_52,Customer_716,Channel_7,Territory_32,2,40,80,40,80
03-AUG-12,Product_4,Customer_1423,Channel_7,Territory_29,12,6.93,83.16,6.93,83.16
27-NOV-12,Product_123,Customer_1459,Channel_7,Territory_92,30,40,1200,40,1200
04-DEC-12,Product_30,Customer_554,Channel_8,Territory_94,1,56,56,56,56
02-AUG-12,Product_72,Customer_554,Channel_8,Territory_94,10,64.4,644,64.4,644
08-OCT-12,Product_42,Customer_1813,Channel_8,Territory_90,2,82,164,82,164
30-JUL-12,Product_102,Customer_94,Channel_4,Territory_10,10,7.1,71,7.1,71
16-OCT-12,Product_63,Customer_395,Channel_7,Territory_26,13,65,845,50,650
21-DEC-12,Product_135,Customer_764,Channel_7,Territory_29,30,13,390,13,390
03-AUG-12,Product_103,Customer_767,Channel_8,Territory_6,4,750,3000,750,3000
03-AUG-12,Product_7,Customer_576,Channel_4,Territory_92,18,25,450,13.89,250.02
03-AUG-12,Product_32,Customer_216,Channel_7,Territory_28,16,108.5,1736,67.81,1084.96
10-OCT-12,Product_90,Customer_764,Channel_7,Territory_29,10,53.34,533.4,53.34,533.4
02-JUL-12,Product_92,Customer_1185,Channel_4,Territory_34,12,24.5,294,20.42,245.04
